trace,source_trace,policy,l1d_coverage,l1d_accuracy,total_ipc,is_best_fixed_policy
444.namd-120B_combo,444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.038313761567,0.046078000683,2.944391208226,0
444.namd-120B_combo,444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.037476318809,0.031452244989,2.940604073471,0
444.namd-120B_combo,444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.060257687927,0.483024251070,2.946742067888,0
444.namd-120B_combo,444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.060455420141,0.483884768967,2.947101599834,1
444.namd-120B_combo,444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.059589187647,0.480310434033,2.946833245223,0
444.namd-120B_combo,444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.060459643055,0.484290202799,2.946676510529,0
445.gobmk-17B_combo,445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.029095058119,0.053730163956,1.639272435303,0
445.gobmk-17B_combo,445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.029541603178,0.053281109542,1.638434184808,0
445.gobmk-17B_combo,445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.029095392639,0.052616740991,1.641005099012,0
445.gobmk-17B_combo,445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.029159397077,0.052505536386,1.642271872470,1
445.gobmk-17B_combo,445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.048338504937,0.540977396136,1.630830902512,0
445.gobmk-17B_combo,445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.048852492393,0.548932384342,1.630786037898,0
445.gobmk-17B_combo,445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.048074642208,0.543967280164,1.634590878331,0
445.gobmk-17B_combo,445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.048228279771,0.543315099860,1.635264203861,0
447.dealII-3B_combo,447.dealII-3B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.072223073909,0.007219015978,1.670415105629,0
447.dealII-3B_combo,447.dealII-3B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.071408251958,0.007197876154,1.670260398581,0
447.dealII-3B_combo,447.dealII-3B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.072732586124,0.007189688719,1.669706143465,0
447.dealII-3B_combo,447.dealII-3B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.071257050472,0.007215153781,1.669670013130,0
447.dealII-3B_combo,447.dealII-3B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.415871906602,0.689041002588,1.690826372625,0
447.dealII-3B_combo,447.dealII-3B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.415989800744,0.688938836671,1.690842096684,1
447.dealII-3B_combo,447.dealII-3B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.408354769009,0.689818194459,1.690464773803,0
447.dealII-3B_combo,447.dealII-3B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.408851162024,0.689818194459,1.690480776911,0
450.soplex-247B_combo,450.soplex-247B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.078998121270,0.055677329982,0.467585937503,0
450.soplex-247B_combo,450.soplex-247B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.079459235160,0.055944195204,0.469403427908,1
450.soplex-247B_combo,450.soplex-247B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.079215032583,0.055837125178,0.467753287177,0
450.soplex-247B_combo,450.soplex-247B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.079083803223,0.055728318278,0.468483959671,0
450.soplex-247B_combo,450.soplex-247B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.093504801481,0.542897081464,0.449383205822,0
450.soplex-247B_combo,450.soplex-247B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.093876701415,0.543688459396,0.452405995746,0
450.soplex-247B_combo,450.soplex-247B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.093466106531,0.542442891763,0.449356136689,0
450.soplex-247B_combo,450.soplex-247B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.093615424511,0.543949405481,0.452502375468,0
453.povray-252B_combo,453.povray-252B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.000000000000,0.000000000000,2.000850561404,0
453.povray-252B_combo,453.povray-252B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.000000000000,0.000000000000,2.000850561404,1
453.povray-252B_combo,453.povray-252B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.000000000000,0.000000000000,2.000337456861,0
453.povray-252B_combo,453.povray-252B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.000000000000,0.000000000000,2.000337456861,0
453.povray-252B_combo,453.povray-252B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.073088875660,0.147494773882,2.000080603232,0
453.povray-252B_combo,453.povray-252B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.073197464999,0.147926921621,1.999951601181,0
453.povray-252B_combo,453.povray-252B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.073580088452,0.147429625695,1.999813617408,0
453.povray-252B_combo,453.povray-252B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.073656849776,0.147984780946,1.999503323474,0
454.calculix-104B_combo,454.calculix-104B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.031635388740,0.013053097345,2.831617868695,0
454.calculix-104B_combo,454.calculix-104B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.031635388740,0.013053097345,2.831617868695,1
454.calculix-104B_combo,454.calculix-104B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.025820568928,0.004223335719,2.829887026682,0
454.calculix-104B_combo,454.calculix-104B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.025820568928,0.004223335719,2.829887026682,0
454.calculix-104B_combo,454.calculix-104B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.079563182527,0.481132075472,2.827545066118,0
454.calculix-104B_combo,454.calculix-104B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.079563182527,0.481132075472,2.827545066118,0
