trace,policy,checkpoint_l1d_coverage,native_l1d_coverage,delta_l1d_coverage,abs_delta_l1d_coverage,checkpoint_l1d_accuracy,native_l1d_accuracy,delta_l1d_accuracy,abs_delta_l1d_accuracy,checkpoint_is_best_policy,native_is_best_policy
445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.020977241782,0.048228279771,0.027251037989,0.027251037989,0.346019395265,0.543315099860,0.197295704595,0.197295704595,1,0
447.dealII-3B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.046979690067,0.072223073909,0.025243383842,0.025243383842,0.007601817315,0.007219015978,-0.000382801337,0.000382801337,0,0
447.dealII-3B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.046979690067,0.071408251958,0.024428561891,0.024428561891,0.007601817315,0.007197876154,-0.000403941161,0.000403941161,0,0
447.dealII-3B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.047132492597,0.072732586124,0.025600093527,0.025600093527,0.007605825119,0.007189688719,-0.000416136400,0.000416136400,0,0
447.dealII-3B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.047132492597,0.071257050472,0.024124557875,0.024124557875,0.007605825119,0.007215153781,-0.000390671338,0.000390671338,0,0
447.dealII-3B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.523831985593,0.415871906602,-0.107960078991,0.107960078991,0.666586449710,0.689041002588,0.022454552878,0.022454552878,0,0
447.dealII-3B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.523831985593,0.415989800744,-0.107842184849,0.107842184849,0.666586449710,0.688938836671,0.022352386961,0.022352386961,0,1
447.dealII-3B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.523827889968,0.408354769009,-0.115473120959,0.115473120959,0.666586449710,0.689818194459,0.023231744749,0.023231744749,0,0
447.dealII-3B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.523827889968,0.408851162024,-0.114976727944,0.114976727944,0.666586449710,0.689818194459,0.023231744749,0.023231744749,1,0
450.soplex-247B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.088118250374,0.078998121270,-0.009120129104,0.009120129104,0.058941954900,0.055677329982,-0.003264624918,0.003264624918,0,0
